index,timestep,node,net_export
1095,t0002,n5722,0.0
1114,t0002,n6849,0.0
1115,t0002,n6850,0.0
1116,t0002,n6851,0.0
1137,t0002,n7280,0.0
1138,t0002,n7281,0.0
1139,t0002,n7282,0.0
1140,t0002,n7486,0.0
1141,t0002,n7487,0.0
1142,t0002,n7489,0.0
1143,t0002,n7610,0.0
1144,t0002,n7637,0.0
1145,t0002,n7641,0.0
1146,t0002,n7649,0.0
1147,t0002,n7652,0.0
1148,t0002,n7653,0.0
1149,t0002,n7672,0.0
1150,t0002,n7681,0.0
1151,t0002,n7682,0.0
1136,t0002,n7279,0.0
1135,t0002,n7278,0.0
1134,t0002,n7277,0.0
1133,t0002,n7276,0.0
1117,t0002,n6852,0.0
1118,t0002,n6853,0.0
1119,t0002,n6854,0.0
1120,t0002,n7151,0.0
1121,t0002,n7261,0.0
1122,t0002,n7264,0.0
1123,t0002,n7266,0.0
1154,t0002,n7711,0.0
1124,t0002,n7267,0.0
1126,t0002,n7269,0.0
1127,t0002,n7270,0.0
1128,t0002,n7271,0.0
1129,t0002,n7272,0.0
1130,t0002,n7273,0.0
1131,t0002,n7274,0.0
1132,t0002,n7275,0.0
1125,t0002,n7268,0.0
923,t0002,n4730,0.0
768,t0002,n4562,0.0
921,t0002,n4728,0.0
712,t0002,n4506,0.0
713,t0002,n4507,0.0
714,t0002,n4508,0.0
715,t0002,n4509,0.0
716,t0002,n4510,0.0
717,t0002,n4511,0.0
718,t0002,n4512,0.0
719,t0002,n4513,0.0
720,t0002,n4514,0.0
721,t0002,n4515,0.0
722,t0002,n4516,0.0
723,t0002,n4517,0.0
724,t0002,n4518,0.0
725,t0002,n4519,0.0
726,t0002,n4520,0.0
711,t0002,n4505,0.0
727,t0002,n4521,0.0
710,t0002,n4504,0.0
708,t0002,n4502,0.0
693,t0002,n3520,-706.2816961130741
694,t0002,n3581,-138.8075471698113
695,t0002,n3587,-20.090566037735844
696,t0002,n3610,-69.40377358490565
697,t0002,n3735,-2447.2466666666664
698,t0002,n3739,-611.8116666666666
699,t0002,n3827,-611.8116666666666
700,t0002,n3848,0.0
701,t0002,n4494,-681.0699999999999
702,t0002,n4496,0.0
703,t0002,n4497,0.0
704,t0002,n4498,0.0
705,t0002,n4499,0.0
706,t0002,n4500,0.0
707,t0002,n4501,0.0
709,t0002,n4503,0.0
728,t0002,n4522,0.0
729,t0002,n4523,0.0
730,t0002,n4524,0.0
751,t0002,n4545,0.0
752,t0002,n4546,0.0
753,t0002,n4547,0.0
